#Note: Only listings refreshed in the last 48 hours are included in the CSV. This may cause row counts to vary across downloads.
PMS Name,Listing ID,Listing Name,Tags,Date,Available,Recommended Price,Price with Default Customization,Your Price,Min Stay,Unbookable,Check In,Check Out,Status,Status Last Year,ADR,ADR Last Year,Booked Date,Booked Date Last Year
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-16,False,269,254,269,2,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-17,False,269,263,277,2,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-18,False,319,319,329,2,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-19,True,363,363,364,3,True,"","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-20,False,405,405,406,3,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-21,True,443,443,447,2,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-22,True,490,490,514,2,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-23,False,500,500,518,2,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-24,False,514,514,541,2,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-25,False,521,521,535,2,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-26,False,573,573,576,3,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-27,False,625,625,633,3,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-28,False,660,660,667,2,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-29,False,645,645,689,2,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-30,False,728,728,736,2,"","","","","","","","",""
airbnb,1552191060469626901,"Luxury Downtown Townhome &amp; Ski Locker, AC, Garage","",2025-12-31,False,738,738,675,2,"","","",Booked (Check-In),"",919.33,"",2025-12-01,""
